food_name,drug_name,interaction_type,severity,description
Grapefruit,Statins,Increases drug levels,High,Grapefruit can increase blood levels of statins leading to serious side effects
Grapefruit,Calcium Channel Blockers,Increases drug levels,High,Can cause dangerously low blood pressure and heart rate
Grapefruit,Immunosuppressants,Increases drug levels,High,Can lead to toxic levels of the drug
Bananas,ACE Inhibitors,Increases potassium,Medium,High potassium foods with ACE inhibitors can cause hyperkalemia
Bananas,Potassium-Sparing Diuretics,Increases potassium,High,Dangerous potassium buildup in blood
Leafy Greens,Warfarin,Reduces drug effectiveness,High,Vitamin K in greens reduces blood-thinning effect
Spinach,Warfarin,Reduces drug effectiveness,High,High vitamin K content interferes with anticoagulation
Kale,Warfarin,Reduces drug effectiveness,High,Rich in vitamin K which counteracts warfarin
Broccoli,Warfarin,Reduces drug effectiveness,Medium,Contains vitamin K that may affect warfarin dosing
Dairy Products,Tetracycline Antibiotics,Reduces absorption,High,Calcium binds to antibiotic preventing absorption
Milk,Ciprofloxacin,Reduces absorption,High,Calcium interferes with fluoroquinolone antibiotics
Cheese,MAO Inhibitors,Increases blood pressure,High,Tyramine in aged cheese can cause hypertensive crisis
Yogurt,Tetracycline,Reduces absorption,Medium,Calcium content reduces antibiotic effectiveness
Alcohol,Metronidazole,Severe reaction,High,Can cause nausea vomiting flushing and rapid heartbeat
Alcohol,Warfarin,Increases bleeding risk,High,Enhances anticoagulant effect
Alcohol,Acetaminophen,Liver damage,High,Combined use increases risk of liver toxicity
Alcohol,Benzodiazepines,CNS depression,High,Dangerous sedation and respiratory depression
Alcohol,Aspirin,Stomach bleeding,Medium,Increases risk of gastrointestinal bleeding
Caffeine,Bronchodilators,Increases side effects,Medium,Can cause nervousness tremors rapid heartbeat
Coffee,Adenosine,Reduces effectiveness,High,Caffeine blocks adenosine making it ineffective
Tea,Iron Supplements,Reduces absorption,Medium,Tannins in tea decrease iron absorption
Cranberry Juice,Warfarin,Increases bleeding risk,Medium,May enhance anticoagulant effect
Orange Juice,Fexofenadine,Reduces absorption,Medium,Decreases antihistamine absorption
Pomegranate,ACE Inhibitors,Increases potassium,Medium,High potassium content with ACE inhibitors
Licorice,Digoxin,Increases toxicity,High,Lowers potassium increasing digoxin side effects
Licorice,Diuretics,Electrolyte imbalance,Medium,Can cause potassium depletion
Soy,Levothyroxine,Reduces absorption,Medium,May interfere with thyroid hormone absorption
Soy,Warfarin,Alters effectiveness,Medium,Vitamin K content may affect anticoagulation
High-Fiber Foods,Levothyroxine,Reduces absorption,Medium,Should take thyroid medication on empty stomach
Nuts,Warfarin,Reduces effectiveness,Low,Some nuts contain vitamin K
Avocado,Warfarin,Reduces effectiveness,Medium,Contains vitamin K affecting anticoagulation
Vitamin K Rich Foods,Anticoagulants,Reduces effectiveness,High,Directly counteracts blood thinning medications
Tyramine Foods,MAO Inhibitors,Hypertensive crisis,High,Can cause dangerous blood pressure spike
Salt Substitutes,ACE Inhibitors,Increases potassium,High,Potassium-based substitutes cause hyperkalemia
Potassium Supplements,Spironolactone,Dangerous potassium levels,High,Both increase potassium leading to toxicity
Calcium Supplements,Thyroid Medications,Reduces absorption,High,Take at least 4 hours apart
Iron Supplements,Levothyroxine,Reduces absorption,Medium,Interferes with thyroid hormone absorption
Magnesium,Antibiotics,Reduces absorption,Medium,Binds to certain antibiotics
Ginger,Anticoagulants,Increases bleeding risk,Medium,Has mild blood-thinning properties
Garlic,Warfarin,Increases bleeding risk,Medium,Can enhance anticoagulant effect
Garlic,Antiplatelet Drugs,Increases bleeding risk,Medium,Additive blood-thinning effect
Turmeric,Anticoagulants,Increases bleeding risk,Medium,Has antiplatelet properties
St Johns Wort,Antidepressants,Serotonin syndrome,High,Dangerous interaction causing serotonin toxicity
St Johns Wort,Birth Control,Reduces effectiveness,High,Decreases contraceptive efficacy
St Johns Wort,Immunosuppressants,Reduces drug levels,High,Increases drug metabolism
Ginseng,Warfarin,Alters effectiveness,Medium,May affect anticoagulation unpredictably
Ginseng,Diabetes Medications,Hypoglycemia,Medium,Can lower blood sugar too much
Green Tea,Warfarin,Reduces effectiveness,Medium,Contains vitamin K
Green Tea,Beta Blockers,Reduces effectiveness,Low,Caffeine may counteract effect
Chocolate,MAO Inhibitors,Increases blood pressure,Low,Contains small amounts of tyramine
Smoked Meats,MAO Inhibitors,Hypertensive crisis,High,High tyramine content
Pickled Foods,MAO Inhibitors,Increases blood pressure,High,Tyramine-rich fermented foods
Soy Sauce,MAO Inhibitors,Increases blood pressure,Medium,Contains tyramine from fermentation
Energy Drinks,Stimulant Medications,Excessive stimulation,High,Dangerous heart rate and blood pressure increase
Energy Drinks,Antidepressants,Serotonin syndrome,Medium,Combined stimulant effect
Cola,Ritalin,Excessive stimulation,Medium,Additive stimulant effects
Carbonated Drinks,Aspirin,Stomach irritation,Low,May increase GI side effects
Acidic Foods,NSAIDs,Stomach irritation,Medium,Increases risk of gastric ulcers
Spicy Foods,NSAIDs,Stomach irritation,Medium,Can worsen GI side effects
Tomatoes,NSAIDs,Stomach upset,Low,Acidic nature may irritate stomach
Citrus Fruits,Aspirin,Stomach irritation,Low,Acidity can increase GI discomfort
High-Fat Meals,Statins,Increases side effects,Low,May increase muscle pain risk
High-Protein Diet,Levodopa,Reduces absorption,High,Competes for same absorption pathway
Maple Syrup,Diabetes Medications,Hypoglycemia,Medium,High sugar content affects blood glucose
Honey,Diabetes Medications,Blood sugar fluctuation,Medium,Can cause unpredictable glucose levels
Processed Meats,Diabetes Medications,Insulin resistance,Low,May affect glucose control
White Bread,Diabetes Medications,Blood sugar spike,Low,High glycemic index
Pasta,Diabetes Medications,Blood sugar control,Low,Simple carbs affect glucose levels
Rice,Diabetes Medications,Glucose fluctuation,Low,Can spike blood sugar
Potatoes,Diabetes Medications,Blood sugar spike,Low,High starch content
Corn,Diabetes Medications,Glucose increase,Low,Starchy vegetable affects blood sugar
Beets,Diabetes Medications,Blood sugar variation,Low,Natural sugars affect glucose
Carrots,Diabetes Medications,Blood sugar effect,Low,Contains natural sugars
Grapes,Diabetes Medications,Hypoglycemia risk,Low,High sugar fruit
Watermelon,Diabetes Medications,Blood sugar spike,Low,High glycemic index
Pineapple,Diabetes Medications,Glucose fluctuation,Low,Natural sugar content
Mangoes,Diabetes Medications,Blood sugar increase,Low,Sweet fruit affects glucose
Dried Fruits,Diabetes Medications,Blood sugar spike,Medium,Concentrated sugars
Fruit Juice,Diabetes Medications,Rapid glucose increase,Medium,Lacks fiber causing quick absorption
Soda,Diabetes Medications,Severe blood sugar spike,High,Pure sugar causes dangerous fluctuations
Candy,Diabetes Medications,Hypoglycemia risk,Medium,Simple sugars affect blood glucose
Cakes,Diabetes Medications,Blood sugar control,Low,High sugar and refined carbs
Ice Cream,Diabetes Medications,Glucose spike,Low,High sugar content
Shellfish,Blood Thinners,Increases bleeding risk,Low,Contains omega-3 fatty acids
Fish Oil,Anticoagulants,Increases bleeding risk,Medium,Has blood-thinning properties
Flaxseed,Warfarin,Increases bleeding risk,Low,Contains omega-3 fatty acids
Chia Seeds,Anticoagulants,Bleeding risk,Low,Mild antiplatelet effect
Walnuts,Blood Thinners,Increases bleeding risk,Low,Omega-3 content
Salmon,Warfarin,Increases bleeding risk,Low,Rich in omega-3
Mackerel,Anticoagulants,Bleeding risk,Low,High omega-3 content
Sardines,Blood Thinners,Increases bleeding risk,Low,Contains omega-3
Beans,MAO Inhibitors,Increases blood pressure,Low,Some fermented varieties contain tyramine
Fava Beans,MAO Inhibitors,Hypertensive crisis,High,High tyramine content when aged
Tofu,Warfarin,Alters effectiveness,Low,Soy protein may affect anticoagulation
Seaweed,Thyroid Medications,Thyroid dysfunction,Medium,High iodine content interferes
Coconut Oil,Anticoagulants,May alter effectiveness,Low,Can affect vitamin K absorption
Olive Oil,Blood Thinners,Mild interaction,Low,Has mild antiplatelet properties
